coffee_name,roaster_name,roaster_location,coffee_origin,roast_level,agtron,est_price,review_date,overall_score,h1,s1,h2,s2,h3,s3,p1,p2,p3
Costa Rica Micro Lot “Pepe” Honey Processed,Bard Coffee,"Portland, Maine","Naranjo, Costa Rica.",Medium-Light,53/69,$14.90/12 ounces,July 2011,95,Review Date:,July 2011,Aroma:,9,Acidity:,9,"Blind Assessment: Beautifully structured coffee: rich, tart, wine-toned acidity and syrupy mouthfeel. Ripe lemon, table grape and vanilla-toned nut are expressed with great depth and resonance in aroma and cup. Balanced finish.","Notes: This lot was produced from trees of the respected Yellow Catuai variety of Arabica and grown in the Naranjo region in Costa Rica’s central valley. It is Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. “Honey process” describes coffee prepared by the pulped natural method, meaning the skin is removed from the coffee fruit immediately after picking, but the seeds or beans are dried with the sweet pulp, or fruit flesh, still adhering to them. This contrasts to the more conventional wet or washed method, wherein both skin and pulp are removed from the beans before drying. Bard Coffee is a coffeehouse and roasting company based in Portland, Maine, focused on distinctive single-origin coffees. Bard Coffee is co-owned by Bob Garver, founder of Wicked Joe coffee and a frequent judge at barista competitions in the United States and internationally. Visit www.bardcoffee.com or call 207-899-4788 for more information.","Who Should Drink It: A grandly classic Latin-American cup: powerful but nuanced acidity, full mouthfeel, deeply expressed aromatics."
Costa Rica Finca Las Gravileas Fair Trade Organic,Wicked Joe,"Brunswick, Maine","Tarrazu growing region, central Costa Rica.",Medium-Light,55/70,$12.85/12 ounces,July 2011,92,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Deep-toned, quietly complex. Sweet flowers, caramel, apple in aroma and cup. Rich, round, but authoritative acidity; lightly syrupy mouthfeel. Impressively long, resonant, sweet finish. ","Notes: This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. It was grown on Finca Las Gravileas in Costa Rica’s famous Tarrazú growing region. Wicked Joe is a micro-roaster based in Maine with a mission of providing its customers with ""epic coffee ... that is kind to both the earth and to the farmers."" Visit www.wickedjoe.com or call 888-894-2533 for more information.","Who Should Drink It: Those who enjoy sensory depth and quiet authority. Rich and balanced when taken black, but should handle whitener well. "
Costa Rica Finca Las Palomas,Bard Coffee,"Portland, Maine","Asseri, Tarrazu, Costa Rica",Medium,48/64,$12.90/12 ounces,July 2011,90,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Crisp, balanced. Hints of raisiny dark chocolate and fresh-cut fir round and deepen a dominant lemony citrus. Silky mouthfeel. The lemon softens in a long, gently dry finish.","Notes: Grown on Finca Las Palomas in Costa Rica’s famous Tarrazu growing region. Bard Coffee is a coffeehouse and roasting company based in Portland, Maine, focused on distinctive single-origin coffees. Bard Coffee is co-owned by Bob Garver, founder of Wicked Joe coffee and a frequent judge at barista competitions in the United States and internationally.  Visit www.bardcoffee.com or call 207-899-4788 for more information.",Who Should Drink It: Clarity and balance in a crisp morning cup. 
Kenya Gichatha-Ini,Bird Rock Coffee Roasters,"La Jolla, California","Central Province, Kenya.",Medium,47/64,$22.00/12 ounces,July 2011,92,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Deep, rich, balanced. Pungent fruit – grapefruit, black currant – is enveloped in a nut-toned dark chocolate. Softly rounded acidity; full, syrupy mouthfeel. Sweetly resonant finish. ","Notes: Produced mainly from trees of the admired, Bourbon-derived SL 28 and SL 34 varieties. Grown by the Gikanda Co-op and processed at the distinguished, award-winning Gichatha-Ini Factory. Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler that focuses on organic and socially responsible coffees. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","Who Should Drink It: The pungent Kenya fruit is gently deepened by the roast, rounding complexity and softening acidity."
Kenya Gichatha-Ini,PT's Coffee Roasting Co.,"Topeka, Kansas","Central Province, Kenya.",Medium-Light,58/79,$22.95/12 ounces,July 2011,92,Review Date:,July 2011,Aroma:,8,Acidity:,9,"Blind Assessment: Balanced, softly complex aromatics in aroma and cup: nut, cocoa, orangy citrus, black currant, hints of baker’s chocolate, flowers. The richly tart acidity is softened by a floral suggestion; lightly syrupy mouthfeel. Deep, resonant finish with some flavor persisting. ","Notes: Produced mainly from trees of the admired, Bourbon-derived SL 28 and SL 34 varieties. Grown by the Gikanda Co-op and processed at the distinguished, award-winning Gichatha-Ini Factory. Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.",Who Should Drink It: The pungent Kenya fruit is softened and deepened without loss of its tart authority in this quietly complex version of the Kenya profile.
Ethiopia Yirgacheffe Koke Coop Fair Trade Organic,JBC Coffee Roasters,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,59/79,$13.95/12 ounces,July 2011,92,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Sweet and delicately complex in aroma and cup: clover, moist pipe tobacco, nut, molasses, plum. Crisp, buoyantly lively acidity; lightly syrupy mouthfeel. Long, deep, flavor-saturated finish. ","Notes: This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..","Who Should Drink It: Delicately pure coffee, light-roasted to develop fresh, orchard-like aromatics and natural sweetness. Excellent environmental and social credentials."
Nicaragua Cinco De Junio Fair Trade Organic,JBC Coffee Roasters,"Madison, Wisconsin","Las Sabanas, Nicaragua",Light,62/86,$12.95/12 ounces,July 2011,90,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Floral notes in aroma and cup anchored by hints of fresh-cut fir and citrus. Delicately crisp acidity; silky mouthfeel. Aromatically simple but deep, sweet-toned finish.","Notes: This coffee is certified organically grown and certified Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. The award-winning Cinco De Junio cooperative sees organic specialty coffee as the key to the development of its communities and the communities where Cinco de Junio’s members live and grow their coffee. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..","Who Should Drink It: Crisp, sweet-toned lighter-roasted coffee with fine floral notes and excellent environmental and social credentials."
Panama Gesha 2011,Barrington Coffee Roasting Co.,"Lee, Massachusetts","Volcán growing region, west and southwest of Volcán Barú, western Panama.",Medium,53/68,$49.95/16 ounces,July 2011,94,Review Date:,July 2011,Aroma:,9,Acidity:,9,"Blind Assessment: Complex and distinctive in aroma and cup: fresh-cut fir, sweet flowers, berry, multidimensioned citrus, cocoa.  Intense floral-toned acidity; delicately silky mouthfeel. Flavor persists deep into a smoothly balanced finish.","Notes: Produced from trees of the rare Ethiopia-derived botanical variety ""Gesha"" or ""Geisha.” With its elongated beans and distinctive floral and chocolate cup, the Gesha variety continues to distinguish itself as one of the world's most unique coffees. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast.  Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",Who Should Drink It: Coffee lovers with who don’t mind dropping significant money on a memorable version of the rare and celebrated Gesha profile
Rwanda Coopac,Barrington Coffee Roasting Co.,"Lee, Massachusetts","Rubavu-Rutsiro, Rwanda.",Medium,48/63,$15.95/16 ounces,July 2011,92,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Deep, sweet, pungent. Suggestions of butterscotch, fresh-turned earth, dried plums, dark chocolate and fir in aroma and cup. Round, rich acidity; lightly syrupy mouthfeel. Hints of flavor persist in a long, round, resonant finish.","Notes: Rwanda's potential as fine coffee producer has come to fruition over the last several years owing to the industry of its growers, generous support from international aid agencies and the passionate commitment of North American specialty coffee roasters. This coffee was produced from trees of the heirloom Bourbon variety of Arabica by the cooperative known as COOPAC (Cooperative pour la Promotion des Activities Café.) Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast.  Visit www.barringtoncoffee.com or call 800-528-0998 for more information.","Who Should Drink It: Elegantly pungent and earthy, a good choice for those who enjoy fine Sumatras."
Guatemala Xeucalvitz,Coava Coffee Roasters,"Portland, Oregon","El Quiche Department, south central Guatemala",Medium-Light,58/79,$12.00/250 grams (8.8 oz.),July 2011,95,Review Date:,July 2011,Aroma:,9,Acidity:,9,"Blind Assessment: Very sweet, ripe lemon, rich cocoa, backgrounded lush flowers in aroma and cup. Vivacious acidity and a mouthfeel almost effervescent in its buoyancy and liveliness. Sweet, deep, flavor-saturated finish. ","Notes: Xeucalvitz is one of four coffee producing communities that form an association called Ixil A’achimbal. The coffee is fermented without water for around twenty hours in wooden boxes covered with banana leaves, washed, and sun-dried on tables and tarps, a local variation on orthodox wet-processing, and one that seems to have a complex and positive impact on cup character. Coava is a Portland based coffee roaster that aims to provide quality coffee and the knowledge needed to properly brew that coffee. Visit www.coavacoffee.com or call 503-894-8134 for more information.","Who Should Drink It: An extraordinary coffee, subtle yet exotic, complete."
Kenya “Karie” Micro-lot,Paradise Roasters,"Ramsey, Minnesota","Mathira West District, Central Kenya.",Medium,48/66,$19.95/12 ounces,July 2011,92,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Rich, deep, pungently sweet in aroma and cup: orange, dark chocolate, raisin, a luxurious hint of citrus blossom. Quiet, round acidity; full mouthfeel. Flavor fades in the short finish but recovers and extends impressively in the long.","Notes: Produced mainly from trees of the admired, Bourbon-derived SL 28 and SL 34 varieties, with 10% from the hybrid Ruiru 11 cultivar. This coffee is grown by the over eight hundred members of the Rutuma FCS cooperative Society and processed at the Karie wet mill. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota.  Visit www.paradiseroasters.com or call 763-433-0626 for more information.","Who Should Drink It: Those in quest of the quiet, resonant side of the celebrated Kenya profile."
Guatemala Guaya’b,The WestBean Coffee Roasters,"San Diego, California","Huehuetenango growing region, Guatemala.",Medium,48/58,$14.99/16 ounces,July 2011,92,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Deep, resonant with dry fruit notes. Baker’s chocolate, ripe citrus, pungently tart berry in aroma and cup. Round, syrupy mouthfeel; rich, impressively flavor-saturated finish. ","Notes: Certified Fair Trade, organically grown and Smithsonian Bird Friendly at origin. The West Bean is a San Diego-based roastery founded by two friends with a passion for coffee and a determination to bring their customers the highest quality hand-crafted coffee possible. Visit www.thewestbean.com or call 619-709-3232 for more information.","Who Should Drink It: Deep, tartly rich cup should please those who enjoy dry, complex red table wines."
Guatemala Xeucalvitz Espresso,Coava Coffee Roasters,"Portland, Oregon","El Quiche Department, south central Guatemala",Medium,52/61,$12.00/250 grams (8.8 oz.),July 2011,92,Review Date:,July 2011,Aroma:,8,Body:,8							,"Blind Assessment: Evaluated as espresso. Complex, crisply sweet aroma deepens and turns bittersweet in the small cup: dark chocolate, pungent, mango-like fruit, orange, smoothing again in a resonant, flavor-saturated finish. Medium body, lightly syrupy mouthfeel. Flavor simplifies and fades a bit in milk, though the dark chocolate and tropical fruit character persist.","Notes: Xeucalvitz is one of four mainly indigenous coffee producing communities that form an association called Ixil A’achimbal. The coffee is fermented without water for around twenty hours in wooden boxes covered with banana leaves, washed, and sun-dried on tables and tarps, a local variation on orthodox wet-processing, and one that seems to have a complex and positive impact on cup character. Coava is a Portland based coffee roaster that aims to provide quality coffee and the knowledge needed to properly brew that coffee. Visit www.coavacoffee.com or call 503-894-8134 for more information.","Who Should Drink It: Distinctive straight-shot espresso, pungently fruit-toned and deep."
Rwanda Musasa,Wonderstate Coffee,"Viroqua, Wisconsin","Gakenke growing region, Rwanda.",Medium-Light,53/72,$12.75/12 ounces,July 2011,91,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Intense, exhilaratingly complex citrus character, simultaneously suggesting bitterish lemon zest, sweet ripe lemon, pungent grapefruit with a heady hint of citrus blossom. Lightly syrupy body; clean but tartly dry finish. ","Notes: Rwanda's tremendous potential as fine coffee producer has only come to fruition over the past several years owing to generous support from international aid agencies, the specialty coffee community and the industry of its growers. Made up entirely of the admired Red Bourbon cultivar, this lot comes from the Dukunde Kawa Cooperative. Wonderstate Coffee, formerly Kickapoo Coffee, is an award-winning roaster based in rural Wisconsin known for their commitment to guaranteeing higher pay for farmers and being the country’s first 100% solar powered roastery. Visit https://wonderstate.com/ for more information.","Who Should Drink It: Those who enjoy intense, challenging, strong-charactered beverages."
Mexico Chiapas Fair Trade,Paradise Roasters,"Ramsey, Minnesota","Chiapas State, southeastern Mexico",Medium-Light,60/79,$16.95/12 ounces,July 2011,91,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Sweet-toned, headily complex aroma: honey, nut, milk chocolate, flowers, orange. In the cup rich, wine-like acidity, lightly syrupy mouthfeel. Under the influence of the acidity the aromatics turn tarter, deeper and perhaps simpler. Clean, resonant finish. ","Notes: This coffee is certified organically grown and Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Produced by Campesinos Ecológicos de la Sierra Madre de Chiapas (CESMACH), a coop located within the buffer zone of El Triunfo Biosphere Reserve, one of the world’s most diverse forest reserves, the integrity of which CESMACH supports through shade-growing and other sustainable practices. Additionally, the importer pays a 20-cent per pound premium to be used for the continued maintenance of El Triunfo Reserve. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota.  Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Who Should Drink It: Classically bright and balanced breakfast cup with impressive social and environmental credentials.
Colombian Supremo,Finger Lakes Coffee Roasters,"Victor, New York",Colombia.,Medium-Dark,39/44,$11.25/16 ounces,July 2011,88,Review Date:,July 2011,Aroma:,9,Acidity:,7,"Blind Assessment: Complex dark-roast character in aroma and cup: deep, rich, dark chocolate with citrus top notes (lemon, grapefruit) and pungent, cedary midtones. The fine aromatics are partly betrayed by a rather leanish mouthfeel and finish.","Notes: Supremo is the highest grade of Colombia coffee based on fewest physical imperfections and largest bean size. In 1996 Finger Lakes Coffee Roasters first opened its doors on the banks of the Erie Canal in historic Bushnell's Basin, New York.  Visit www.fingerlakescoffee.com or call 585-742-6210 for more information.","Who Should Drink It: Lovers of dark roasts that combine crisp, roasty character with a full range of flavor and aromatics. "
Kenya AA Dark,Peerless Coffee and Tea,"Oakland, California",South-central Kenya.,Very Dark,29/31,$13.45/16 ounces,July 2011,88,Review Date:,July 2011,Aroma:,8,Acidity:,7,"Blind Assessment: Crisp, gently charred sweetness (think campfire marshmallow) in aroma and cup, with hints of dark chocolate, vanilla and a shimmer of bright, surprising lemon. Roast-muted acidity, light but silky mouthfeel. Some chocolaty sweetness persists to lighten a rather roast-heavy finish.","Notes: Despite grower discontent and sporadic social disorder, Kenya continues to produce some of the world's most elegant and distinctive coffees. Peerless Coffee was founded in 1924 as a classic storefront roaster in Oakland. It has grown in size and presence since, but remains directly family owned and operated.  Visit www.peerlesscoffee.com or call 800-235-3237 for more information.",Who Should Drink It: Dark-roast fans who don’t need pronounced bitterness to convince them they’re drinking coffee. Displays solid dark-roast character while retaining sweetness and some Kenya complexity. 
Fair Trade Organic Ethiopia Yirgacheffe,Green Mountain Coffee,"Waterbury, Vermont","Yirgacheffe growing region, southern Ethiopia.",Medium,50/60,$9.49/10 ounces,July 2011,88,Review Date:,July 2011,Aroma:,7,Acidity:,7,"Blind Assessment: Attractive floral, nut, lemon and vanilla notes, but rather muted, especially in the aroma. Round, gentle acidity; unusually buttery mouthfeel. The nut note hints at chocolate in a sweet, rich finish.","Notes: Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Keurig/Green Mountain, formerly Green Mountain Coffee Roasters, pioneered single-serve capsule brewing in the United States with its Keurig brewing system, and remains one of the country’s leading large specialty roasters, offering a particularly wide-ranging variety of origins and roast styles. Visit www.GreenMountainCoffee.com or call 888-879-4627 for more information.","Who Should Drink It: A fine, balanced Yirgacheffe with muted aromatics. A good choice perhaps for those who find the lemon and flowers of most Yirgacheffes too brightly distracting and who may prefer a quieter, rounder version of the type with a fuller, more syrupy feel on the palate."
Sumatra,Tully's Coffee,"Seattle, Washington",Sumatra.,Dark,37/40,$9.49/12 ounces,July 2011,88,Review Date:,July 2011,Aroma:,8,Acidity:,7,"Blind Assessment: Impressive aroma: sweet-toned, deep, roundly roasty, with cedar, orange and smoky dark chocolate nuance. Quiet acidity. Medium-bodied with a slightly leanish mouthfeel. Simplifies a bit in the cup, but retains gently scorched cedar and backgrounded dark chocolate character, with a continued earthy, smoky hint. Simple but rich finish.","Notes: Coffees like this one from the northern part of the Indonesian island of Sumatra are admired for their complex earth, fruit and aromatic wood notes that result largely from unorthodox fruit removal and drying practices collectively called “wet hulling.” Tully's is a large quality-oriented specialty roasting company and café chain based in Seattle.  Visit www.tullys.com or call 800-968-8559 for more information.","Who Should Drink It: Dark-roast Sumatra lovers, of which there are many. This version has less musty-earthiness and more chocolate than most traditional Sumatras."
Organic Guatemalan Medium,Equal Exchange,"West Bridgewater, Massachusetts","El Quiche Department, south central Guatemala",Medium,48/56,$57.00/5 pounds,July 2011,88,Review Date:,July 2011,Aroma:,7,Acidity:,7,"Blind Assessment: Roasted nut, fresh-cut fir and a brightening orangy citrus dominate in aroma and cup. Balanced, rather muted acidity, lean but silky mouthfeel. In the cup the nut notes turn toward chocolate and the fruit deepens. The chocolate tendencies in particular persist in a sweet, clean finish.","Notes: Available online in five-pound bags or at various locations in bulk bins, this organically grown Guatemalan coffee is produced by mainly Mayan farmers in the Department of El Quiché. Equal Exchange is a co-operatively owned business founded in 1986 focused on sustainability and social responsibility.  Visit www.equalexchange.coop or call 774-776-7389 for more information.","Who Should Drink It: Subtle, resonant-finishing Guatemala from a pioneer in sustainable coffee importing, roasting and sales."
Thai Fully City Roast,Eden Way Coffee,"Wood Village, Oregon",Northern Thailand.,Medium-Dark,44/51,$10.00/16 ounces,July 2011,88,Review Date:,July 2011,Aroma:,7,Acidity:,8,"Blind Assessment: Roasted nut and a rich, pruny dark chocolate dominates in aroma and cup. Soft but resonant acidity, silky mouthfeel. Flavor fades a bit in the finish, but generally the cup sweetens and deepens as it cools, a good sign. ",Notes: Grown in northern Thailand’s Golden Triangle using sustainable farming practices. Eden Way is a family-owned business that sources its coffee directly from Thai village coffee growers and allocates 50% of its profits toward social causes involving reducing human trafficking and sponsoring orphaned children.  Visit www.edenwaycoffee.com or call 503-328-8668 for more information.,"Who Should Drink It: A smooth, nut-and-chocolate-toned option for those who avoid brighter, more acidy coffees."
Honduras Coprocael,Desert Sun Coffee Roasters,"Durango, Colorado","Octopeque Province, Honduras.",Medium-Light,60/78,$10.99/12 ounces,July 2011,89,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Gently and sweetly bright, delicately balanced. Milk chocolate and plum-like fruit with hints of vanilla and fresh leather in aroma and cup. Softly tart acidity; silky mouthfeel. Sweet though very slightly drying and astringent in the finish.","Notes: Certified organically grown and Fair Trade certified, meaning this coffee was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Desert Sun’s roastery is located at nearly 7,000 feet above sea level in the San Juan Mountains of Colorado. It imports its coffee through its membership in Coop Coffees, a cooperative importer.  Visit www.desertsuncoffee.com or call 866-998-6299 for more information.","Who Should Drink It: Those who enjoy classically delicate light-roasted coffees, complex and lively."
Ethiopian Konga Yirgacheffe,Counter Culture Coffee,"Durham, North Carolina","Yirgacheffe growing region, southern Ethiopia.",Medium,51/67,$12.95/12 ounces,July 2011,89,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Lemon zest and flowers in the aroma, softening in the cup to ripe lemon and nut-toned cocoa. Balanced, gently bright acidity; impressively silky mouthfeel. Flavor carries decisively into a mildly drying finish.","Notes: Certified organically grown by the Konga Cooperative. Buna Ababa, or “coffee flower,” is the term Counter Culture uses to describe their wet-processed coffees from southern Ethiopia. Yirgacheffe is a coffee region that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Counter Culture is a wholesale specialty roaster with an informative and lively website, a commitment to fine coffee and youthful, enthusiastic leadership.  Visit www.counterculturecoffee.com or call 888-238-5282 for more information.","Who Should Drink It: Those who enjoy a straightforward, briskly medium-roasted Yirgacheffe cup: silky, floral, lemony."
Ethiopian Yirgacheffe,The Roasterie,"Kansas City, Missouri","Yirgacheffe growing region, southern Ethiopia.",Medium-Dark,42/52,$12.94/12 ounces,July 2011,89,Review Date:,July 2011,Aroma:,8,Acidity:,7,"Blind Assessment: Gently roasty in aroma and cup, with a chocolaty char complicated by a rich, tart lemon. Muted acidity, leanish mouthfeel. Surprisingly fine finish: clean, long, resonant with sweet cocoa and chocolate nuance.","Notes: Certified organically grown and Fair Trade certified, meaning this coffee was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. The Roasterie is a longtime leading, quality-oriented specialty roaster that emphasizes its commitment to ""air roasting,"" a technology utilizing a column of hot air rather than the conventional turning drum to agitate the roasting beans. Visit www.theroasterie.com or call 800-376-0245 for more information.",Who Should Drink It: Those who enjoy their lemony Yirgacheffe with an overlay of tactful roastiness and impressive social and environmental credentials. 
El Salvador Finca San Joaquin,Tony's Coffees & Teas,"Bellingham, Washington","Santa Ana Department, El Salvador.",Light,63/82,$13.99/12 ounces,July 2011,89,Review Date:,July 2011,Aroma:,7,Acidity:,8,"Blind Assessment: Intense but rather simple aroma: faint suggestions of dusk flowers, fir, blackberry. Sweetly tart acidity; silky mouthfeel. In the cup aromatics lift and open: lemon, dusk flowers, hints of white wine and fresh pipe tobacco. Sweet, slightly astringent finish with good flavor persistence, particularly flowers.","Notes: This 100% Bourbon-variety coffee comes from one of the highest elevation farms in the Apaneca-Ilamatpeque mountain range of El Salvador. Finca San Joaquin rises to 5,550 feet above sea level, and receives full sunlight in only the early part of the day, resulting in a very drawn out maturation time for the cherries. Founded in 1971, Tony's Coffees & Teas is a wholesale specialty coffee roasting company. Although the Tony's roasting facility is in Bellingham, Washington, the company maintains distribution and training centers in Seattle, Washington and San Jose, California. Visit www.tonyscoffee.com or call 800-448-8804 for more information.","Who Should Drink It: Should appeal to lovers of dry, complex white wines."
Ethiopia Yirgacheffe Dominion,Barefoot Coffee Roasters,"San Jose, California","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,56/72,$14.00/350 grams (12.3 ounces),July 2011,89,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Tart, zesty, complex: lemon, fir, spicy tea rose, a hint of nut-toned cocoa in both aroma and cup. Sweet but tartly assertive acidity; light, leanish mouthfeel. Flavor rounds toward cocoa in a finish that some may find bracing and others too astringently drying.","Notes: Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Barefoot Coffee Roasters is an award-winning small-batch roasting company that claims to be ""Making sweet coffee love… in the heart of Silicon Valley."" Visit www.barefootcoffeeroasters.com or call 408-293-7200 for more information.","Who Should Drink It: Those who enjoy complex but dry, challenging white wines."
Organic Ethiopia Yirgacheffe Peaberry,Montana Coffee Traders,"Whitefish, Montana","Yirgacheffe growing region, southern Ethiopia.",Medium,50/60,$15.00/12 ounces,July 2011,92,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Crisp, complex. Fresh-cut fir, cherryish fruit, ripe citrus, a hint of cocoaish chocolate in aroma and cup. Richly tart acidity; smooth, lightly syrupy mouthfeel. Long, impressive finish, tart but sweet, alive with lemony cocoa nuance. ","Notes: Certified organically grown, this sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Since 1981 Montana Coffee Traders has been roasting fine coffees in an old farmhouse at 3,000 feet above sea level.  Visit www.coffeetraders.com or call 406-862-7633 for more information.","Who Should Drink It: Those who prefer an Ethiopia that minimizes delicate floral character in favor of crisp, lemony authority."
Ethiopian Sidamo 2,Boyds Coffee,"Portland, Oregon","Sidama (also Sidamo) growing region, southern Ethiopia.",Medium-Dark,44/53,$15.00/16 ounces,July 2011,92,Review Date:,July 2011,Aroma:,9,Acidity:,8,"Blind Assessment: Intense, complex aroma: flowers, ripe lemon, lemon zest, with a rounding hint of stone fruit, apricot perhaps. Delicate, balanced acidity; lean but silky mouthfeel. The floral notes recede in the cup and a crisp, lemony cocoa develops, carrying into a sweet-toned finish.","Notes: Ethiopian coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) express floral and citrus notes with particular intensity. The number 2 in the coffee name doubtless is a reference to Grade 2, the most widely available grade for fine wet-processed Ethiopia coffees. Established in 1900 in Portland, Oregon and continuously led since by the Boyd family, Boyds is the longest-operating coffee roaster in the Pacific Northwest.  Visit www.boyds.com or call 503-666-4545 for more information.","Who Should Drink It: Ethiopia flowers, lemon and cocoa nuance in a complex, bright but sweetly balanced cup."
Mexican Extra Fine Gourmet Coffee,Café Juquila,"Mexico City, Mexico","Oaxaca, Mexico",Medium,48/60,$7.00/17 ounces,July 2011,90,Review Date:,July 2011,Aroma:,8,Acidity:,8,"Blind Assessment: Crisp, cocoa-toned nut and dark malted barley notes in aroma and cup. Smooth, balanced acidity; lightly syrupy mouthfeel. Flavor carries nicely into a clean, sweet finish.","Notes: This coffee is both grown and roasted in Mexico. Finca Santa Maria is surrounded by old growth rainforest and is located in Juquila, a small community near Puerto Escondido, Oaxaca, in the Sierra Madre. Visit www.cafejuquila.com or call 52-55-1999-5647 for more information.","Who Should Drink It: A traditional style Mexico coffee, balanced and chocolate-nut toned. Should satisfy those breakfast-cuppers who prefer round and caramelly to bright and fruit-toned. "
